FOOD COMMODITY GROUP,Food commodity ITEM,Food commodity TYPOLOGY,Food commodity sub-TYPOLOGY,final_co2,final_wfp
AGRICULTURAL PROCESSED,ALMOND MILK,VEGETAL MILK,-,"0,54",2030
AGRICULTURAL PROCESSED,APPLE JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1140
AGRICULTURAL PROCESSED,AZUKI BEAN FLOUR,LEGUME FLOUR,-,"1,32",2523
AGRICULTURAL PROCESSED,BARLEY FLAKES,BREAKFAST CEREALS,-,"2,64",1977
AGRICULTURAL PROCESSED,BEANS ( F ),LEGUMES FROZEN,-,"2,26",801
AGRICULTURAL PROCESSED,BEANS,LEGUMES CANNED,-,"0,78","555,5"
AGRICULTURAL PROCESSED,BEER,BEER,-,"0,69",155
AGRICULTURAL PROCESSED,BEER GLASS,BEER,-,"0,96",155
AGRICULTURAL PROCESSED,BEER MODULAR,BEER,-,"0,53",155
AGRICULTURAL PROCESSED,BEER ,BEER*,-,"0,69",155
AGRICULTURAL PROCESSED,BEET SUGAR,SUGAR,-,"0,94",865
AGRICULTURAL PROCESSED,BLUEBERRY JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,BREAD,BREAD,-,"0,86",667
AGRICULTURAL PROCESSED,BREAD MULTICEREAL,BREAD,-,"0,86",902
AGRICULTURAL PROCESSED,BREAD PLAIN,BREAD,-,"0,89",1031
AGRICULTURAL PROCESSED,BREAD WHOLE,BREAD,-,"0,77",887
AGRICULTURAL PROCESSED,BUCKWHEAT FLOUR,GRAIN FLOUR,-,"0,87","1889,5"
AGRICULTURAL PROCESSED,CAKES CROISSANT,SWEETS,-,"2,14",1640
AGRICULTURAL PROCESSED,CANE MOLASSE,SUGAR,-,"0,78",527
AGRICULTURAL PROCESSED,CANE SUGAR,SUGAR,-,"0,62",1724
AGRICULTURAL PROCESSED,CARROTS ( F ),VEGETABLES FROZEN,-,"0,81","750,5"
AGRICULTURAL PROCESSED,CARROTS CANNED,VEGETABLES CANNED,-,"1,48","806,6"
AGRICULTURAL PROCESSED,CHOCOLATE CREAM FILLED COOKIES,BISCUITS,-,"1,53",2902
AGRICULTURAL PROCESSED,COCOA BUTTER,COCOA DERIVATES,-,"3,16",33938
