name,co2,wfp
cups cocoa powder,3.16,15618.0
packages chocolate kisses,3.16,20717.0
almonds fine,1.88,11264.0
cucumber peel,0.27,353.0
plain yogurt flavor cheese,8.93,5253.0
penne pasta noodles,1.21,1508.0
bacon cut pieces semi,5.99,6116.0
tuna fish water,2.2,2313.5
sodium soy sauce use sodium soy,1.46,613.0
strawberry cut pieces,0.61,413.0
crab pollock cut chunks,5.19,2313.5
pepper jar,0.65,379.0
oats minute,0.67,1788.0
beverage Sprite lemon lime works,0.34,642.0
package medium firm tofu,2.27,1724.0
regular grain rice,2.19,1597.0
medium green tomatoes pounds,0.45,41.0
type fish,2.2,2313.5
baby eggplants diagonal,0.19,362.0
chocolate bars chocolate,3.16,20717.0
blueberry syrup,0.78,845.0
quarts apple cider organic,0.25,622.0
violet chocolate candy bars Chocolate honeycomb bars,3.16,20717.0
split lentils cup dal,0.52,5874.0
tomatoes pieces tomatoes San Marzano,0.45,41.0
pomelo fruit,0.34,654.0
slices chocolate chip cookie inch,3.16,20717.0
slender asparagus pieces,0.83,2150.0
envelope Lipton Onion Soup Mix flavor variety,0.22,290.0
homemade pesto sauce,2.72,2174.0
lime skewer loomi taste soup,0.34,642.0
butter cold cut pieces,8.48,5659.0
onions yellow,0.22,290.0
cooking rice wine Try Kikkoman brand Aji Mirin brand,0.66,524.0
jar pasta sauce mushroom,1.21,1508.0
pepper sauce brand,0.65,379.0
quinoa,0.97,1618.0
package spaghetti noodles rice,2.19,1597.0
wine Grigio,0.66,524.0
medium cucumber paper thin,0.27,353.0
raspberry liqueur chambord,0.64,413.0
bunch onion,0.22,290.0
firm tomatoes dice,0.45,41.0
mayonnaise salad dressing,1.46,572.0
orange pekoe tea bag,0.3,654.0
cream cent,5.45,3838.0
quality mayonnaise Best Foods Hellman,1.46,572.0
cream F,1.53,2902.0
stalks bit celery,0.33,362.0
medium papaya coarse,0.32,460.0
flour purpose bread,0.86,667.0
rutland cheese,8.93,5253.0
slices ginger thin,0.84,1657.0
package garlic herb goat cheese,8.93,5253.0
cavatappi pasta ounces,1.21,1508.0
strawberry preserves tablespoon preserves,0.61,413.0
cream cheese icing,8.93,5253.0
basmati rice water atleast hour,2.19,1597.0
turnips inch slices,0.25,195.0
salad cream,5.45,3838.0
cucumbers seedless,0.27,353.0
potatoes note bottom,0.81,575.0
beer apple juice,2.86,1140.0
oricchette pasta ears bow tie shells,1.21,1508.0
medallions tuna filets,3.68,2313.5
bitter melon,0.61,1506.5
butter room temperature stick,8.48,5659.0
butter cup template butter rum,8.48,5659.0
pints okra,0.33,576.0
butter MELTED,8.48,5659.0
lentils note,0.52,5874.0
skinless salmon fillet cut pieces,3.37,2193.0
stalk celery ¼ inch,0.33,362.0
turnip oz,0.25,195.0
onion sauteed cube butter,8.48,5659.0
package graham cracker pie crust ounce package chocolate crusts,3.16,20717.0
bottles wine stuff charles wine,0.66,524.0
head celery cut lengths leaves,0.33,362.0
shallots greens,0.25,272.0
bell pepper ribs,0.65,379.0
margarine spread tub products tablespoon template spread tub products,1.39,1324.0
butter cut chunks bowl gms,8.48,5659.0
cauliflower floret size,0.31,285.0
